start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
0.0045,0.017,25468.0,41701.0,Echolocation,0.57,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.1255,0.1361,28046.0,44833.0,Echolocation,0.53,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.2215,0.2316,28046.0,44488.0,Echolocation,0.594,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.3065,0.316,27187.0,47623.0,Echolocation,0.565,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.3715,0.379,27187.0,49199.0,Echolocation,0.53,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.4155,0.4222,26328.0,44662.0,Echolocation,0.553,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.4525,0.4573,22890.0,42895.0,Echolocation,0.518,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
0.9095,0.9203,26328.0,36463.0,Echolocation,0.626,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.0505,1.0638,24609.0,43671.0,Echolocation,0.68,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.1525,1.1639,22890.0,28818.0,Echolocation,0.554,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.1915,1.2059,24609.0,43737.0,Echolocation,0.651,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.3285,1.3413,25468.0,48323.0,Echolocation,0.712,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.5305,1.5462,22031.0,30264.0,Echolocation,0.535,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.5585,1.5707,25468.0,48578.0,Echolocation,0.718,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.6685,1.6791,22890.0,29579.0,Echolocation,0.619,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.6865,1.6985,27187.0,44701.0,Echolocation,0.619,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.8215,1.8336,26328.0,45417.0,Echolocation,0.69,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
1.9195,1.9321,22031.0,29637.0,Echolocation,0.58,../input_dir/20210910_030000__5%DUTYCYCLE_1440secOFFSET.WAV
