start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
22.5615,22.5771,25468.0,28347.0,Echolocation,0.507,/Users/adityakrishna/Downloads/20210910_032600.WAV
22.8315,22.8394,40937.0,49258.0,Echolocation,0.58,/Users/adityakrishna/Downloads/20210910_032600.WAV
22.8955,22.9102,24609.0,29099.0,Echolocation,0.586,/Users/adityakrishna/Downloads/20210910_032600.WAV
22.9355,22.9427,40937.0,58854.0,Echolocation,0.664,/Users/adityakrishna/Downloads/20210910_032600.WAV
22.9575,22.9703,24609.0,29873.0,Echolocation,0.55,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.0415,23.049,40078.0,59480.0,Echolocation,0.595,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.0985,23.1098,22031.0,29370.0,Echolocation,0.602,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.1365,23.1431,40078.0,48478.0,Echolocation,0.594,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.1675,23.181,24609.0,29671.0,Echolocation,0.684,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.2335,23.2412,41796.0,59960.0,Echolocation,0.767,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.3315,23.3404,40078.0,51202.0,Echolocation,0.612,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.4335,23.4436,40937.0,58646.0,Echolocation,0.553,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.4425,23.4572,24609.0,28582.0,Echolocation,0.63,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.5395,23.549,40937.0,49118.0,Echolocation,0.572,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.5525,23.5637,26328.0,33511.0,Echolocation,0.621,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.6565,23.6648,40078.0,53489.0,Echolocation,0.635,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.6895,23.7059,22031.0,29460.0,Echolocation,0.66,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.7665,23.7746,39218.0,49767.0,Echolocation,0.559,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.8025,23.8145,25468.0,30440.0,Echolocation,0.668,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.8745,23.8842,40078.0,61350.0,Echolocation,0.715,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.9375,23.9555,22031.0,28769.0,Echolocation,0.554,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.9595,23.9719,26328.0,31938.0,Echolocation,0.58,/Users/adityakrishna/Downloads/20210910_032600.WAV
23.9825,23.9907,40078.0,52651.0,Echolocation,0.613,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.0885,24.0984,40078.0,59669.0,Echolocation,0.613,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.1035,24.1161,25468.0,30432.0,Echolocation,0.679,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.1515,24.1705,21171.0,29367.0,Echolocation,0.599,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.1945,24.2026,39218.0,51239.0,Echolocation,0.586,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.2505,24.2653,24609.0,29958.0,Echolocation,0.642,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.3615,24.3738,22031.0,31298.0,Echolocation,0.731,/Users/adityakrishna/Downloads/20210910_032600.WAV
24.3845,24.3935,40078.0,58255.0,Echolocation,0.681,/Users/adityakrishna/Downloads/20210910_032600.WAV
